value_id,display_value,raw_value,units,source_file,source_columns,analysis_step,figure_table_reference,manuscript_location
A_on_polsby_popper_mean,0.03324447705769508,0.03324447705769508,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_polsby_popper_min,0.011690560105553872,0.011690560105553872,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_n_split_munis,0.0,0.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_severed_flow_total,243932.5,243932.5,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_severed_fraction,0.2733535416923473,0.2733535416923473,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_within_district_retention,648437.5,648437.5,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_cross_pref_flow,39733.0,39733.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_cross_pref_flow_severed,39733.0,39733.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_cross_pref_flow_retained,0.0,0.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_total_boundary_m,5355039.8630577745,5355039.8630577745,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_objective,1793321.0,1793321.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_status,FEASIBLE,FEASIBLE,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_max_min_ratio,1.3215579758623457,1.3215579758623457,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_max_rel_dev,0.15744857387722566,0.15744857387722566,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_mean_abs_dev,0.08921496574291865,0.08921496574291865,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_rms_dev,0.10024374768242608,0.10024374768242608,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_contiguous,True,True,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_polsby_popper_mean,0.03206327883880022,0.03206327883880022,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_polsby_popper_min,0.011690560105553872,0.011690560105553872,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_n_split_munis,0.0,0.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_severed_flow_total,249689.5,249689.5,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
