placebo_id,pop_share_grp1,boundary_len_m,obj_on,obj_off,bound_on,bound_off,status_on,status_off,cost
93,0.2796146601307664,122654.76863003612,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
94,0.3569329034743869,173580.22855438953,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
95,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
96,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
97,0.2986105909341315,156238.20338363008,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
98,0.4341932766940978,123142.56468102496,0.29421792988642415,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.009556466431283384
99,0.4381898225241044,120116.84156632642,0.2805744460397206,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.004087017415420169
100,0.2676906588851809,148112.1718909239,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
101,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
102,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
103,0.4381898225241044,120116.84156632642,0.2805744460397206,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.004087017415420169
104,0.3003537092118966,143728.78079457278,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
105,0.3650399817421011,141292.4041286659,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
106,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
107,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
108,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
109,0.3370556432514792,175392.53032686157,0.36491037648353497,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.08024891302839421
110,0.3010205934969513,157415.05090640992,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
111,0.3052328370615305,153511.675193524,0.34416287041409466,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.059501406958953895
112,0.3243134436306162,132572.3167318075,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
113,0.3378034455020007,143417.71672110833,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
114,0.2867762758546052,145479.35441057754,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
115,0.4258096243276982,145826.98343613185,0.29583120652605777,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.011169743070917004
116,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
117,0.3925971836038657,152661.63800179493,0.3567820366006278,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07212057314548703
118,0.2895983838452668,117380.0592923262,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
119,0.3038427014876129,121133.60413175408,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
120,0.3205974802195657,173495.44296774874,0.3645514182897942,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07988995483465344
121,0.3622178737514395,144070.17980759,0.33865943501272655,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.05399797155758579
122,0.3051601862566221,131600.9758783848,0.30119295678209884,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.01653149332695808
123,0.3151439099711225,121370.6963561603,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
124,0.3032975699307838,120983.7946608267,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
125,0.3392880271222991,169919.88342882734,0.35786854706182936,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0732070836066886
126,0.2776067421951115,134277.73403493033,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
127,0.3853629170751186,164518.51754803694,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
128,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
129,0.3764621913937857,156005.8763034224,0.384620721819202,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.09995925836406122
130,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
131,0.2867762758546052,145479.35441057754,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
132,0.3806065440337781,170548.28742691118,0.377320547626805,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.09265908417166424
133,0.4003477718874955,105163.50743466408,0.313093930471694,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.02843246701655322
134,0.3403640105949925,112302.19067483456,0.28258404912489565,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.0020774143302451087
135,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
136,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
137,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
138,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
139,0.2619189282152427,144395.75377482688,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
140,0.4381898225241044,120116.84156632642,0.2805744460397206,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.004087017415420169
141,0.3010205934969513,157415.05090640992,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
142,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
143,0.2895983838452668,117380.0592923262,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
144,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
145,0.3097923013695678,126314.38660036666,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
146,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
