i,j
252012772,252012792
25201278101,25201278102
25201278101,25201278106
25201278101,25201288002
25201278101,25201288003
25201278102,25201278103
25201278102,25201278104
25201278102,25201278106
25201278102,252012782
25201278102,25201288000
25201278102,25201288002
25201278102,25201288003
25201278103,25201278104
25201278103,25201278105
25201278103,252012782
25201278104,25201278105
25201278104,25201278106
25201278105,25201278106
25201278105,25201278107
25201278105,252012782
25201278106,25201278107
252012782,252012792
252012782,25201288000
25201279101,25201279102
25201279101,25201279103
25201279101,252012792
25201279102,25201279103
25201279102,252012792
25201279103,25201279104
25201279103,252012792
25201279104,252012792
25201279104,252091480
252012792,25201288000
252012792,252091350
252012792,252091470
252012792,252091480
252012792,26344002012
25201280001,25201280002
25201280001,25201281001
25201280001,25201284003
25201280001,25201297101
25201280001,25201297102
25201280001,252012972
25201280001,252013080
25201280001,252013200
25201280002,25201280003
25201280002,25201281001
25201280002,25201281002
25201280002,25201281003
25201280002,252012972
25201280002,25201298101
25201280002,252012982
25201280003,25201281003
25201280003,25201288000
25201280003,25201298101
25201280003,25201298102
25201280003,252012982
25201281001,25201281002
25201281001,25201282001
25201281001,25201282002
25201281001,25201284002
25201281001,25201284003
25201281002,25201281003
25201281002,25201282001
25201281002,25201282002
25201281002,25201282003
25201281003,25201282003
25201281003,25201288000
25201282001,25201282002
25201282001,25201283001
25201282001,25201283003
25201282001,25201283005
25201282001,25201284002
25201282002,25201282003
25201282002,25201283003
25201282002,25201283005
25201282003,25201282004
25201282003,25201283005
25201282003,25201288000
25201282004,25201283005
25201282004,25201283006
25201282004,25201283007
25201282004,25201288000
25201283001,25201283002
25201283001,25201283003
25201283001,25201284001
25201283001,25201284002
25201283001,25201285004
25201283002,25201283003
25201283002,25201283004
25201283002,25201285004
25201283002,25201286005
25201283002,25201287002
25201283002,25201288005
25201283003,25201283004
25201283003,25201283005
25201283004,25201283005
25201283004,25201288004
25201283004,25201288005
25201283005,25201283006
25201283005,25201288004
25201283005,25201288005
25201283005,25201288006
25201283006,25201283007
25201283006,25201288006
25201283007,25201288000
25201283007,25201288004
25201283007,25201288006
25201284001,25201284002
25201284001,25201284003
25201284001,25201285003
25201284001,25201285004
25201284001,252013080
25201284002,25201284003
25201284003,252013080
25201285001,25201285002
25201285001,25201286001
25201285001,25201286002
25201285001,25201310006
25201285002,25201285003
25201285002,25201285004
25201285002,25201286002
25201285002,252013080
25201285002,25201310006
25201285003,25201285004
25201285003,252013080
25201285004,25201286002
25201285004,25201286005
25201286001,25201286002
25201286001,25201286003
25201286002,25201286003
25201286002,25201286005
25201286003,25201286004
25201286003,25201286005
25201286004,25201286005
25201286004,25201287001
25201286005,25201287001
25201286005,25201287002
25201287001,25201287002
25201287002,25201288001
25201287002,25201288005
25201288000,25201288003
25201288000,25201288004
25201288000,252012922
25201288000,252012952
25201288000,252012982
25201288000,252091340
25201288000,252091350
25201288001,25201288002
25201288001,25201288003
25201288001,25201288004
25201288001,25201288005
25201288002,25201288003
25201288003,25201288004
25201288003,25201288005
25201288004,25201288005
25201288004,25201288006
25201289001,25201289002
25201289001,25201289004
25201289001,25201289005
25201289001,252060030
25201289001,25206010004
25201289001,25206010007
25201289001,25206010008
25201289002,25201289003
25201289002,25201289004
25201289002,25201292103
25201289002,25206010004
25201289002,25206010008
25201289003,25201289004
25201289003,25201289005
25201289003,25201289006
25201289003,25201289008
25201289003,25201292103
25201289003,252012922
25201289004,25201289005
25201289004,25201289006
25201289005,25201289006
25201289005,25201290101
25201289005,252060030
25201289006,25201289007
25201289006,25201289008
25201289006,25201290101
25201289007,25201289008
25201289007,25201290101
25201289007,25201290102
25201289008,25201290101
25201289008,25201290102
25201289008,25201292103
25201289008,252012922
25201289008,25201294103
25201290101,25201290102
25201290101,25201290103
25201290101,25201290104
25201290101,252060030
25201290102,25201290103
25201290102,252012922
25201290102,25201294102
25201290103,25201290104
25201290103,25201290105
25201290103,25201290107
25201290103,25201294102
25201290104,25201290105
25201290104,25201290106
25201290104,25201290107
25201290104,252060030
25201290104,25206043201
25201290105,25201290106
25201290105,25201290107
25201290106,25201290107
25201290106,25201294102
25201290106,252012942
25201290106,25206043201
25201290106,25206044208
25201290107,25201294102
25201290107,252012942
252012910,252012922
252012910,252080220
25201292101,25201292102
25201292101,25201292103
25201292101,252012922
25201292102,25201292103
25201292102,252012922
25201292103,252012922
25201292103,25201294103
25201292103,252060010
25201292103,252060030
25201292103,25206010004
252012922,25201293103
252012922,252012932
252012922,25201294102
252012922,25201294103
252012922,252012942
252012922,252012952
252012922,252060010
252012922,252080220
252012922,252091340
252012922,252091360
252012922,252091370
25201293101,25201293102
25201293101,252012932
25201293101,25201294101
25201293101,252012942
25201293102,252012932
25201293102,25201294101
25201293103,252012932
252012932,25201294101
252012932,252012942
252012932,252012952
25201294101,25201294102
25201294101,252012942
25201294102,252012942
25201294102,252012952
25201294102,25206044208
252012942,25201295101
252012942,25201295102
252012942,252012952
252012942,252012991
252012942,252012992
25201295101,25201295102
25201295101,252012952
25201295101,252012961
25201295101,252012962
25201295101,252012992
25201295102,252012952
25201295103,252012952
252012952,252012961
252012952,252012962
252012952,25201297101
252012952,252012972
252012952,25201298102
252012952,252012982
252012952,252012991
252012952,252012992
252012952,252013200
252012952,25206044207
252012952,25206044208
252012961,252012962
252012962,252012972
252012962,252013200
25201297101,252012972
25201297102,252012972
252012972,252012982
252012972,252013200
25201298101,25201298102
25201298101,252012982
25201298102,252012982
252012991,252012992
25201300001,25201300002
25201300001,25201307002
25201300001,25201307003
25201300001,25201307004
25201300001,252013190
25201300002,25201300003
25201300002,25201300004
25201300002,25201307001
25201300002,25201307002
25201300002,25201310001
25201300002,25201313001
25201300002,252013190
25201300003,25201300004
25201300003,25201300005
25201300003,25201300006
25201300003,25201313001
25201300003,252013180
25201300004,25201300005
25201300004,25201300007
25201300004,25201307001
25201300004,25201322001
25201300004,25201322002
25201300004,25201322004
25201300005,25201300006
25201300005,25201300007
25201300006,25201300007
25201300006,25201300008
25201300006,25201313002
25201300006,252013180
25201300007,25201300008
25201300007,25201322004
25201300007,25201322005
25201300007,25201322007
25201300008,25201313002
25201300008,25201313004
25201300008,252013200
25201300008,25201322007
25201307001,25201307002
25201307001,25201322001
25201307001,25201327001
25201307001,25201338003
25201307002,25201307003
25201307002,25201327001
25201307002,25201338001
25201307002,25201338003
25201307003,25201307004
25201307003,25201307005
25201307003,25201307006
25201307003,25201307007
25201307003,25201338001
25201307003,25201338003
25201307004,25201307005
25201307004,252013370
25201307005,25201307006
25201307005,252013370
25201307006,25201307007
25201307006,252013370
25201307006,25201338001
25201307007,25201338001
25201307007,252060450
252013080,25201310006
252013080,25201313004
252013080,25201313005
252013080,252013200
25201310001,25201310002
25201310001,25201313001
25201310001,25201313003
25201310001,252013190
25201310002,25201310003
25201310002,25201313001
25201310002,25201313003
25201310002,25201316002
25201310003,25201310004
25201310003,25201310005
25201310003,25201313003
25201310003,25201316002
25201310003,25201399002
25201310004,25201310005
25201310005,25201310006
25201310005,25201313005
25201310005,25201399001
25201310005,25201399002
25201310006,25201313005
25201313001,25201313002
25201313001,25201313003
25201313001,252013180
